FRA Point;FRA Point Latitude;FRA Point Longitude
DIPOK;N391253;E0164305
DIPSA;N463635;E0145520
DIPVO;N433735;E0121229
DIRAB;N464849;E0110344
DIRAL;N443039;E0273315
DIRAL;N443039;E0273315
DIRCO;N463558;E0271517
DIRED;N393351;E0143057
DIRER;N445918;E0212435
DIRER;N445918;E0212435
DIRES;N410328;E0191133
DISEK;N525528;E0145204
DISOR;N411450;E0224530
DITAN;N405644;E0191813
DITAX;N452808;E0222014
DITAX;N452808;E0222014
DITIS;N485353;E0150659
DITIS;N485353;E0150659
DIVAL;N473318;E0160747
DIVAR;N374618;E0151844
DIVKU;N413000;E0155016
DIXUM;N432945;E0171158
DOBAR;N411958;E0202941
DOBAR;N411958;E0202941
DOBEN;N494624;E0133342
DOBIM;N425714;E0094500
DOBOG;N440840;E0110537
DOBOK;N472936;E0272810
DOBOK;N472936;E0272810
DOBOT;N444626;E0175409
DODAR;N471252;E0193139
DODEL;N373606;E0161132
DODOD;N503653;E0200931
DOGIG;N504925;E0220510
DOGUS;N410112;E0154212
DOKAR;N423003;E0094500
DOKOT;N561333;E0212146
DOKUD;N462807;E0245721
DOKUD;N462807;E0245721
DOL;N460503;E0144643
DOLAP;N432227;E0224606
DOLAP;N432227;E0224606
DOLEV;N425002;E0201841
DOLON;N405321;E0173540
DOLUP;N490709;E0132340
DOMAG;N545828;E0174108
DONAD;N500451;E0130000
DONIV;N444456;E0211010
DOPEL;N383139;E0085301
DORAS;N393556;E0130336
DORAV;N441935;E0085108
DOSAL;N532355;E0152332
DOSIX;N522053;E0191339
DOTAM;N422124;E0232425
DOWEC;N424146;E0260738
DUFES;N485723;E0211908
DUKAT;N542817;E0253655
DUNAV;N450738;E0282855
DUZLA;N465725;E0184349
DVA;N454941;E0225808
EBAMO;N464956;E0193533
EBCOL;N455918;E0254909
EBEKU;N442645;E0280729
EBELA;N411136;E0185432
EBELA;N411136;E0185432
EBILO;N465123;E0233125
EBITA;N442306;E0144609
EBITI;N460336;E0145908
EBOGU;N532244;E0180859
EBORO;N462121;E0195915
EDALA;N441330;E0172929
EDEMU;N481028;E0194829
EDEMU;N481028;E0194829
EDETA;N454608;E0245552
EDETA;N454608;E0245552
EDFIG;N545427;E0241052
EDIKA;N421637;E0225243
EDIKA;N421637;E0225243
EDOPA;N402521;E0134555
EDUGI;N434728;E0141020
EDUGI;N434728;E0141020
EDUGI;N434728;E0141020
EFJAS;N440107;E0273009
EFJAS;N440107;E0273009
EGHIN;N440322;E0081316
EGLON;N512500;E0215905
EKBUT;N525150;E0150017
EKDIR;N441217;E0104236
EKKEF;N414058;E0164345
EKLIN;N561930;E0213629
EKMIL;N421005;E0140801
EKMOT;N414059;E0144826
EKMUR;N412452;E0163124
EKNAB;N454340;E0223003
EKPAL;N442903;E0100945
EKPAR;N382829;E0165557
EKPEB;N464125;E0112819
EKPIS;N464714;E0112120
EKPOD;N402634;E0091129
EKSEK;N510742;E0153639
EKSOL;N431156;E0265625
EKSUM;N454324;E0143402
EKSUN;N445514;E0261708
EKTOL;N410628;E0151017
EKTUK;N440203;E0115451
ELB;N424350;E0102345
ELBAK;N405151;E0200452
ELBUK;N443720;E0095048
ELDET;N441710;E0234521
ELEKA;N544802;E0244120
ELGEB;N440826;E0201132
ELGIB;N552726;E0260244
ELGOX;N503353;E0181803
ELGUS;N433252;E0145800
ELKAP;N424316;E0103839
ELKAR;N534154;E0203000
ELMEK;N495414;E0140148
ELPEZ;N454944;E0132137
ELPOL;N543623;E0153802
ELROM;N464431;E0230155
ELROM;N464431;E0230155
ELRUR;N432347;E0271137
ELSAG;N403629;E0080000
ELSAG;N403629;E0080000
ELSUP;N523224;E0152441
ELTAR;N453851;E0103740
ELTIB;N441813;E0164859
ELTUB;N534021;E0152521
ELVAB;N440953;E0250527
ELVIN;N412938;E0120941
ELVOT;N503642;E0162433
ELVOT;N503642;E0162433
EMBIK;N501229;E0180611
EMBOS;N435007;E0101700
EMBUT;N472436;E0185409
EMGAR;N542607;E0163307
EMKES;N434901;E0175112
EMO;N424511;E0274531
EMPOS;N454728;E0234348
ENEPA;N374624;E0135958
ENFAR;N414607;E0203204
ENFAR;N414607;E0203204
ENIMA;N450446;E0245409
ENITA;N494208;E0122826
ENOBA;N441759;E0081823
ENOBI;N533534;E0233747
ENORU;N502025;E0162213
ENORU;N502025;E0162213
ENOXA;N411205;E0174008
ENSOT;N403200;E0125915
ENUPU;N443701;E0192146
EPARI;N474111;E0185841
EPCAR;N464916;E0264213
EPIKU;N405126;E0080635
EPODO;N461146;E0140437
EPOLA;N472948;E0145316
EPOMI;N453908;E0135243
EPOPA;N502205;E0174759
ERADA;N472621;E0281210
ERANA;N410948;E0221422
ERANI;N474402;E0125711
ERBIZ;N481039;E0261939
ERDOM;N433103;E0231721
ERDON;N431742;E0130212
ERGOM;N474830;E0184359
ERGOM;N474830;E0184359
ERGOM;N474830;E0184359
ERGUZ;N470304;E0194835
ERIKA;N413722;E0140152
ERITU;N432621;E0140734
ERIVA;N562208;E0243749
ERKIR;N473216;E0120032
ERKIR;N473216;E0120032
ERKIR;N473216;E0120032
ERLIT;N432301;E0131002
ERNAM;N365130;E0160945
ERNOX;N520136;E0160114
EROMO;N475713;E0235647
EROVI;N435314;E0102000
ERPEM;N385632;E0113900
ERPOG;N422842;E0151209
ERTEV;N433818;E0085730
ERUKO;N454951;E0220528
ESARA;N554524;E0211337
ESEGA;N481747;E0131053
ESEGA;N481747;E0131053
ESEGA;N481747;E0131053
ESENA;N430137;E0265221
ESINO;N412305;E0114741
ESIRI;N441928;E0212746
ESODU;N422634;E0141953
ETARO;N473000;E0190000
ETEDI;N533532;E0195217
ETEPA;N463140;E0244320
ETIDA;N434109;E0222504
ETIDA;N434109;E0222504
ETIPA;N484245;E0173316
ETITI;N502345;E0211311
ETNOG;N473938;E0215812
ETOBI;N443522;E0165457
ETOPO;N420400;E0261943
ETPOK;N424541;E0121000
ETRIL;N424502;E0235335
ETRIN;N423621;E0144312
ETROK;N473227;E0132251
ETUBA;N424852;E0263546
ETUBO;N522809;E0225745
ETUDA;N500048;E0163026
ETVIS;N493914;E0124903
EVANO;N452015;E0084539
EVAXI;N464636;E0133111
